,ccode,country,year,AIDS,Congenital,Diarrhoea,Injury,Intrapartum,Malaria,Measles,Meningitis,Pneumonia,Preterm,Sepsis,Tetanus,Other,Total
0,AFG,Afghanistan,2017,0.0,6.4,7.8,5.8,15.9,0.1,1.8,3.4,14.9,19.2,8.4,1.6,14.7,100
1,ALB,Albania,2017,0.7,27.2,0.6,7.0,8.8,0.0,0.0,2.2,8.9,28.9,2.6,0.8,12.3,100
2,DZA,Algeria,2017,0.1,16.0,4.8,6.3,14.4,0.0,0.3,1.0,13.0,21.1,9.2,0.2,13.7,100
3,AND,Andorra,2017,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,16.7,100
4,AGO,Angola,2017,2.8,7.0,9.3,6.4,13.6,7.0,0.7,2.0,17.3,12.0,5.7,0.5,15.9,100
5,ATG,Antigua and Barbuda,2017,0.0,26.7,0.0,1.0,7.0,0.0,0.0,0.0,6.6,17.0,1.9,0.0,39.8,100
6,ARG,Argentina,2017,0.1,29.3,1.1,6.5,4.6,0.0,0.0,1.1,6.5,28.1,5.4,0.0,17.3,100
7,ARM,Armenia,2017,0.0,26.6,1.3,9.0,6.7,0.0,0.0,1.6,10.7,24.4,3.6,0.0,16.2,100
8,AUS,Australia,2017,0.0,27.1,0.6,6.8,11.1,0.0,0.0,0.7,3.0,21.5,1.3,0.0,27.9,100
9,AUT,Austria,2017,0.0,36.0,0.0,5.0,9.7,0.0,0.0,1.1,2.6,15.4,3.3,0.0,26.8,100
10,AZE,Azerbaijan,2017,0.1,13.9,6.8,8.3,12.8,0.0,0.0,1.3,12.7,20.3,5.5,0.2,18.2,100
11,BHS,Bahamas,2017,1.5,18.1,3.4,5.1,9.5,0.0,0.0,0.0,14.2,25.1,3.5,0.0,19.6,100
12,BHR,Bahrain,2017,0.3,35.5,0.3,4.4,2.9,0.0,0.0,0.9,1.9,34.9,0.2,0.0,18.9,100
13,BGD,Bangladesh,2017,0.0,9.1,7.4,7.9,13.8,0.0,1.9,1.1,13.5,18.0,11.0,0.2,15.9,100
14,BRB,Barbados,2017,0.0,25.3,0.0,7.3,13.4,0.0,0.0,0.0,2.4,16.0,10.7,0.0,24.8,100
15,BLR,Belarus,2017,3.3,33.9,0.6,8.0,7.1,0.0,0.0,1.2,5.7,19.1,1.9,0.0,19.3,100
16,BEL,Belgium,2017,0.0,29.3,0.3,7.2,10.0,0.0,0.0,1.6,3.4,17.3,2.5,0.0,28.4,100
17,BLZ,Belize,2017,0.7,22.2,3.9,7.9,9.6,0.0,0.0,0.3,5.0,22.1,6.2,0.0,22.0,100
18,BEN,Benin,2017,0.9,5.0,9.5,5.2,10.3,16.4,0.6,2.3,13.8,12.8,6.9,0.3,15.9,100
19,BTN,Bhutan,2017,1.1,11.0,6.0,7.6,13.1,0.0,0.5,1.8,14.6,20.2,9.1,0.2,14.8,100
20,BOL,Bolivia (Plurinational State of),2017,0.1,14.6,5.9,7.5,14.7,0.0,0.0,1.0,13.0,19.0,7.4,0.3,16.5,100
21,BIH,Bosnia and Herzegovina,2017,0.0,32.0,0.7,4.2,8.8,0.0,1.6,1.2,5.9,30.1,3.6,0.0,11.9,100
22,BWA,Botswana,2017,7.7,11.7,3.7,4.1,15.9,0.1,0.0,0.7,9.1,26.4,9.2,0.4,11.1,100
23,BRA,Brazil,2017,0.1,23.4,2.1,5.9,9.5,0.0,0.0,1.0,7.9,18.7,7.9,0.0,23.4,100
24,BRN,Brunei Darussalam,2017,0.0,28.8,3.0,1.5,5.2,0.0,0.0,0.0,4.0,18.9,6.1,0.0,32.6,100
25,BGR,Bulgaria,2017,0.1,24.3,1.8,5.9,9.0,0.0,0.0,1.4,14.2,28.2,2.0,0.0,13.1,100
26,BFA,Burkina Faso,2017,0.4,4.6,8.0,6.2,10.2,20.0,0.9,2.4,13.3,10.8,6.7,0.2,16.2,100
27,BDI,Burundi,2017,0.9,5.8,8.0,7.6,12.5,9.7,0.1,2.3,14.9,12.4,5.8,0.3,19.7,100
28,CPV,Cabo Verde,2017,1.0,22.4,3.6,5.0,9.7,0.0,0.0,1.1,11.6,23.3,5.9,0.4,16.0,100
29,KHM,Cambodia,2017,0.1,10.1,7.4,8.8,13.0,0.8,0.2,1.4,14.2,17.5,8.2,0.2,18.1,100
30,CMR,Cameroon,2017,3.3,6.3,9.4,6.6,11.2,13.7,0.3,1.9,15.0,10.9,4.7,0.2,16.5,100
31,CAN,Canada,2017,0.0,23.5,0.3,6.0,9.8,0.0,0.0,0.7,1.7,29.5,2.9,0.0,25.6,100
32,CAF,Central African Republic,2017,2.3,3.9,9.3,4.3,11.5,17.4,2.7,3.5,15.5,11.6,5.3,1.2,11.5,100
33,TCD,Chad,2017,0.8,4.5,12.6,5.9,11.1,8.4,0.1,4.2,23.7,9.4,4.7,0.7,13.9,100
34,CHL,Chile,2017,0.0,39.7,0.3,5.3,5.2,0.0,0.0,0.5,2.9,27.6,3.5,0.0,15.0,100
35,CHN,China,2017,0.1,19.9,3.0,15.1,14.1,0.0,0.3,1.3,12.6,16.7,1.4,0.0,15.6,100
36,COL,Colombia,2017,0.1,25.5,1.7,5.7,6.1,0.0,0.0,0.9,9.5,21.0,8.3,0.0,21.2,100
37,COM,Comoros,2017,0.1,6.6,8.8,6.3,12.4,0.1,0.0,3.2,17.9,19.3,7.2,0.5,17.6,100
38,COG,Congo,2017,11.2,7.6,5.5,5.3,11.4,6.6,6.2,1.2,11.6,14.5,5.6,0.2,13.1,100
39,COK,Cook Islands,2017,0.0,28.3,1.2,5.8,10.5,0.0,0.0,1.0,8.7,24.9,2.9,0.0,16.7,100
40,CRI,Costa Rica,2017,0.0,38.5,1.2,4.2,7.3,0.0,0.0,0.9,4.9,28.9,1.5,0.0,12.6,100
41,CIV,Cote d'Ivoire,2017,2.8,5.6,9.9,6.3,12.1,7.2,0.6,2.0,14.4,13.4,7.7,0.4,17.5,100
42,HRV,Croatia,2017,0.0,32.4,0.5,3.3,7.7,0.0,0.0,1.4,3.1,12.1,2.6,0.0,36.8,100
43,CUB,Cuba,2017,0.1,21.9,1.1,8.5,7.2,0.0,0.0,3.0,12.1,15.0,5.9,0.0,25.4,100
44,CYP,Cyprus,2017,0.0,17.8,0.0,3.3,4.4,0.0,0.0,0.6,0.0,24.5,1.3,0.0,48.0,100
