Entity,Code,Year,Number of significant earthquakes (significant earthquakes)
Afghanistan,AFG,-2150,0
Afghanistan,AFG,-2000,0
Afghanistan,AFG,-1610,0
Afghanistan,AFG,-1566,0
Afghanistan,AFG,-1450,0
Afghanistan,AFG,-1365,0
Afghanistan,AFG,-1250,0
Afghanistan,AFG,-1050,0
Afghanistan,AFG,-759,0
Afghanistan,AFG,-590,0
Afghanistan,AFG,-550,0
Afghanistan,AFG,-525,0
Afghanistan,AFG,-480,0
Afghanistan,AFG,-479,0
Afghanistan,AFG,-432,0
Afghanistan,AFG,-426,0
Afghanistan,AFG,-400,0
Afghanistan,AFG,-373,0
Afghanistan,AFG,-364,0
Afghanistan,AFG,-330,0
Afghanistan,AFG,-326,0
Afghanistan,AFG,-282,0
Afghanistan,AFG,-250,0
Afghanistan,AFG,-227,0
Afghanistan,AFG,-223,0
Afghanistan,AFG,-221,0
Afghanistan,AFG,-218,0
Afghanistan,AFG,-217,0
Afghanistan,AFG,-210,0
Afghanistan,AFG,-198,0
Afghanistan,AFG,-193,0
Afghanistan,AFG,-186,0
Afghanistan,AFG,-177,0
Afghanistan,AFG,-70,0
Afghanistan,AFG,-63,0
Afghanistan,AFG,-60,0
Afghanistan,AFG,-58,0
Afghanistan,AFG,-50,0
Afghanistan,AFG,-47,0
Afghanistan,AFG,-33,0
Afghanistan,AFG,-31,0
Afghanistan,AFG,-27,0
Afghanistan,AFG,-26,0
Afghanistan,AFG,-15,0
Afghanistan,AFG,10,0
Afghanistan,AFG,11,0
Afghanistan,AFG,17,0
Afghanistan,AFG,23,0
Afghanistan,AFG,25,0
Afghanistan,AFG,27,0
Afghanistan,AFG,29,0
Afghanistan,AFG,33,0
Afghanistan,AFG,37,0
Afghanistan,AFG,46,0
Afghanistan,AFG,50,1
Afghanistan,AFG,52,0
Afghanistan,AFG,55,0
Afghanistan,AFG,57,0
Afghanistan,AFG,60,0
Afghanistan,AFG,62,0
Afghanistan,AFG,63,0
Afghanistan,AFG,76,0
Afghanistan,AFG,79,0
Afghanistan,AFG,89,0
Afghanistan,AFG,93,0
Afghanistan,AFG,100,0
Afghanistan,AFG,105,0
Afghanistan,AFG,109,0
Afghanistan,AFG,115,0
Afghanistan,AFG,120,0
Afghanistan,AFG,123,0
Afghanistan,AFG,128,0
Afghanistan,AFG,138,0
Afghanistan,AFG,142,0
Afghanistan,AFG,143,0
Afghanistan,AFG,155,0
Afghanistan,AFG,170,0
Afghanistan,AFG,173,0
Afghanistan,AFG,177,0
Afghanistan,AFG,180,0
Afghanistan,AFG,243,0
Afghanistan,AFG,251,0
Afghanistan,AFG,253,0
Afghanistan,AFG,258,0
Afghanistan,AFG,262,0
Afghanistan,AFG,294,0
Afghanistan,AFG,304,0
