,ccode,country,m1990,m2000,m2010,m2015,m2017,f1990,f2000,f2010,f2015,f2017
0,AFG,Afghanistan,180.1,133.5,94.2,77.2,71.8,169.7,123.8,85.5,68.8,63.7
1,ALB,Albania,43.7,26.7,13.0,10.1,9.5,36.4,22.2,11.0,8.6,8.1
2,DZA,Algeria,53.7,42.5,28.9,26.4,25.5,45.3,36.7,25.8,23.5,22.5
3,AND,Andorra,9.4,5.4,4.3,3.9,3.6,7.6,4.5,3.6,3.2,3.0
4,AGO,Angola,235.0,217.5,129.2,95.1,86.9,211.6,194.5,113.1,82.4,74.9
5,ATG,Antigua and Barbuda,29.0,16.5,10.8,8.7,8.1,23.4,13.2,8.8,7.2,6.7
6,ARG,Argentina,31.8,21.9,16.0,12.5,11.3,25.7,17.6,13.0,10.3,9.4
7,ARM,Armenia,54.3,33.1,20.0,15.5,14.0,44.6,26.7,16.0,12.4,11.2
8,AUS,Australia,10.3,6.8,5.3,4.1,3.8,8.1,5.5,4.3,3.5,3.2
9,AUS,Austria,10.6,6.0,4.7,4.1,3.9,8.4,4.9,3.9,3.3,3.2
10,AZE,Azerbaijan,101.1,79.9,41.0,29.2,25.4,89.2,69.2,33.7,23.5,20.5
11,BHS,Bahamas,25.2,17.1,12.5,8.6,7.7,21.7,14.8,10.8,7.5,6.7
12,BHR,Bahrain,23.8,12.9,8.8,7.9,7.6,22.2,12.0,8.2,7.3,7.1
13,BGD,Bangladesh,147.1,90.8,52.0,38.8,34.7,140.2,84.0,46.3,33.8,30.0
14,BRB,Barbados,19.6,16.5,15.8,14.3,13.6,16.1,13.8,13.1,11.9,11.2
15,BLR,Belarus,17.4,14.6,6.2,4.5,4.2,12.9,10.8,4.8,3.6,3.3
16,BEL,Belgium,11.3,6.5,5.0,4.4,4.2,8.6,5.2,4.0,3.5,3.3
17,BLZ,Belize,42.0,26.0,20.8,17.1,15.6,34.8,21.2,17.1,14.1,12.8
18,BEN,Benin,185.1,149.2,119.4,109.3,103.7,170.0,137.0,107.4,97.8,92.6
19,BTN,Bhutan,132.7,81.8,45.8,36.2,33.6,122.8,73.4,39.0,30.3,27.9
