[T25.],Index of Industrial Production,,,,,
Region/Country/Area,,Series,Year,Value,Footnotes,Source
8,Albania,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2007,118.5,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2008,142.7,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2009,148.3,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2010,200.2,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2011,237.6,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2012,273.4,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2013,349.1,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2014,355.3,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Mining (Index base: 2005=100),2007,136.5,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Mining (Index base: 2005=100),2008,156.7,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Mining (Index base: 2005=100),2009,153.1,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Mining (Index base: 2005=100),2010,241.7,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Mining (Index base: 2005=100),2011,361.4,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Mining (Index base: 2005=100),2012,477.0,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Mining (Index base: 2005=100),2013,699.8,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Mining (Index base: 2005=100),2014,695.1,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Manufacturing (Index base: 2005=100),2007,113.3,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Manufacturing (Index base: 2005=100),2008,134.2,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Manufacturing (Index base: 2005=100),2009,153.9,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Manufacturing (Index base: 2005=100),2010,186.6,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Manufacturing (Index base: 2005=100),2011,204.1,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Manufacturing (Index base: 2005=100),2012,199.5,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Manufacturing (Index base: 2005=100),2013,198.5,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Manufacturing (Index base: 2005=100),2014,212.9,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2007,124.8,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2008,149.9,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2009,149.3,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2010,158.9,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2011,161.6,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2012,185.3,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2013,169.9,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Food, beverages and tobacco (Index base: 2005=100)",2014,169.8,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2007,106.6,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2008,128.1,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2009,159.6,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2010,181.7,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2011,183.6,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2012,168.5,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2013,195.2,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Textiles, wearing apparel, leather, footwear (Index base: 2005=100)",2014,231.9,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2007,69.9,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2008,73.3,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2009,122.5,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2010,77.4,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2011,119.1,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2012,94.5,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2013,69.2,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Chemicals, petroleum, rubber and plastic products (Index base: 2005=100)",2014,44.5,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2007,113.9,Including basic metals.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2008,126.6,Including basic metals.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2009,109.2,Including basic metals.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2010,145.6,Including basic metals.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2011,167.1,Including basic metals.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2012,206.0,Including basic metals.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2013,218.1,Including basic metals.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Metal products and machinery (Index Base: 2005=100),2014,215.7,Including basic metals.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2007,56.6,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2008,84.1,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2009,66.4,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2010,83.4,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2011,41.0,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2012,57.3,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2013,112.4,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,"Index of industrial production: Electricity, gas, steam (Index base: 2005=100)",2014,99.7,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Water and waste management (Index base: 2005=100),2007,102.8,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Water and waste management (Index base: 2005=100),2008,131.1,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Water and waste management (Index base: 2005=100),2009,125.5,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Water and waste management (Index base: 2005=100),2010,110.6,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Water and waste management (Index base: 2005=100),2011,118.4,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Water and waste management (Index base: 2005=100),2012,108.4,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Water and waste management (Index base: 2005=100),2013,116.0,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
8,Albania,Index of industrial production: Water and waste management (Index base: 2005=100),2014,116.1,,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2007,97.0,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
12,Algeria,"Index of industrial production: Total industry - Mining; manufacturing; electricity, gas and water (Index base: 2005=100)",2008,98.7,The indices are based on ISIC Rev. 3.,"United Nations Statistics Division, New York, Environment and energy statistics branch, Industrial and Energy Statistics Section, last accessed November 2015."
