T04,International migrants and refugees,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,International migrant stock: Both sexes (number),"190,531,600",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2005,International migrant stock: Both sexes (% total population),2.9,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2005,International migrant stock: Male (% total Population),3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2005,International migrant stock: Female (% total Population),2.9,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2010,International migrant stock: Both sexes (number),"220,019,266",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2010,International migrant stock: Both sexes (% total population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2010,International migrant stock: Male (% total Population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2010,International migrant stock: Female (% total Population),3.1,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2015,International migrant stock: Both sexes (number),"247,585,744",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2015,International migrant stock: Both sexes (% total population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2015,International migrant stock: Male (% total Population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2015,International migrant stock: Female (% total Population),3.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2015,Total refugees and people in refugee-like situations (number),"15,097,633",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
1,"Total, all countries or areas",2015,"Asylum seekers, including pending cases (number)","2,343,919",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
1,"Total, all countries or areas",2015,Other of concern to UNHCR (number),"40,518,150",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
1,"Total, all countries or areas",2015,Total population of concern to UNHCR (number),"57,959,702",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
1,"Total, all countries or areas",2017,International migrant stock: Both sexes (number),"257,715,425",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2017,International migrant stock: Both sexes (% total population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2017,International migrant stock: Male (% total Population),3.5,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2017,International migrant stock: Female (% total Population),3.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
1,"Total, all countries or areas",2017,Total refugees and people in refugee-like situations (number),"18,473,853",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
1,"Total, all countries or areas",2017,"Asylum seekers, including pending cases (number)","2,954,666",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
1,"Total, all countries or areas",2017,Other of concern to UNHCR (number),"45,979,852",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
1,"Total, all countries or areas",2017,Total population of concern to UNHCR (number),"67,408,371",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
2,Africa,2005,International migrant stock: Both sexes (number),"15,462,306",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2005,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2005,International migrant stock: Male (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2005,International migrant stock: Female (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2010,International migrant stock: Both sexes (number),"17,007,249",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2010,International migrant stock: Both sexes (% total population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2010,International migrant stock: Male (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2010,International migrant stock: Female (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2015,International migrant stock: Both sexes (number),"23,436,088",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2015,International migrant stock: Both sexes (% total population),2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2015,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2015,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2015,Total refugees and people in refugee-like situations (number),"4,493,139",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
2,Africa,2015,"Asylum seekers, including pending cases (number)","1,044,031",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
2,Africa,2015,Other of concern to UNHCR (number),"11,530,138",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
2,Africa,2015,Total population of concern to UNHCR (number),"17,067,308",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
2,Africa,2017,International migrant stock: Both sexes (number),"24,650,223",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2017,International migrant stock: Both sexes (% total population),2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2017,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2017,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
2,Africa,2017,Total refugees and people in refugee-like situations (number),"6,134,401",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
2,Africa,2017,"Asylum seekers, including pending cases (number)","589,255",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
2,Africa,2017,Other of concern to UNHCR (number),"15,203,541",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
2,Africa,2017,Total population of concern to UNHCR (number),"21,927,197",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
15,Northern Africa,2005,International migrant stock: Both sexes (number),"1,731,939",Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2005,International migrant stock: Both sexes (% total population),0.9,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
15,Northern Africa,2005,International migrant stock: Male (% total Population),1.1,Excluding Sudan.,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
