T26,Population employed in research and development (R&D),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
8,Albania,2008,R & D personnel: Total (number in full-time equivalent),779,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
8,Albania,2008,R & D personnel: Researchers - total (number in full-time equivalent),467,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
8,Albania,2008,R & D personnel: Researchers - women (number in full-time equivalent),207,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
8,Albania,2008,R & D personnel: Technicians - total (number in full-time equivalent),120,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
8,Albania,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),192,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
12,Algeria,2005,R & D personnel: Total (number in full-time equivalent),"7,331",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
12,Algeria,2005,R & D personnel: Researchers - total (number in full-time equivalent),"5,593",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
12,Algeria,2005,R & D personnel: Researchers - women (number in full-time equivalent),"2,043",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
12,Algeria,2005,R & D personnel: Technicians - total (number in full-time equivalent),"1,134",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
12,Algeria,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),604,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
16,American Samoa,2005,R & D personnel: Total (number in full-time equivalent),6,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
16,American Samoa,2005,R & D personnel: Researchers - total (number in full-time equivalent),6,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
24,Angola,2011,R & D personnel: Total (number in full-time equivalent),"2,038",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
24,Angola,2011,R & D personnel: Researchers - total (number in full-time equivalent),"1,150",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
24,Angola,2011,R & D personnel: Researchers - women (number in full-time equivalent),320,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
24,Angola,2011,R & D personnel: Technicians - total (number in full-time equivalent),858,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
24,Angola,2011,R & D personnel: Technicians - women (number in full-time equivalent),242,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
24,Angola,2011,R & D personnel: Other supporting staff - total (number in full-time equivalent),30,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
24,Angola,2011,R & D personnel: Other supporting staff - women (number in full-time equivalent),6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2005,R & D personnel: Total (number in full-time equivalent),"45,361",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2005,R & D personnel: Researchers - total (number in full-time equivalent),"31,868",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2005,R & D personnel: Researchers - women (number in full-time equivalent),"15,416",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2005,R & D personnel: Technicians - total (number in full-time equivalent),"7,788",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,705",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2010,R & D personnel: Total (number in full-time equivalent),"65,299",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2010,R & D personnel: Researchers - total (number in full-time equivalent),"46,199",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2010,R & D personnel: Researchers - women (number in full-time equivalent),"23,558",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2010,R & D personnel: Technicians - total (number in full-time equivalent),"10,143",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"8,957",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2015,R & D personnel: Total (number in full-time equivalent),"78,713",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2015,R & D personnel: Researchers - total (number in full-time equivalent),"52,970",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2015,R & D personnel: Researchers - women (number in full-time equivalent),"27,536",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2015,R & D personnel: Technicians - total (number in full-time equivalent),"13,953",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
32,Argentina,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"11,790",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2005,R & D personnel: Total (number in full-time equivalent),"6,892",Head count instead of Full-time equivalent.;Partial data.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2005,R & D personnel: Researchers - total (number in full-time equivalent),"5,056",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
51,Armenia,2005,R & D personnel: Researchers - women (number in full-time equivalent),"2,329",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
