[T12.],Intentional homicides and other crimes,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2015,"Intentional homicide rates per 100,000",5.3,"Data is for 2015, or latest available data from 2010 onwards.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
202,Sub-Saharan Africa,2015,"Intentional homicide rates per 100,000",9.6,"Data is for 2015, or latest available data from 2010 onwards.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
419,Latin America & the Caribbean,2015,"Intentional homicide rates per 100,000",22.3,"Data is for 2015, or latest available data from 2010 onwards.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
62,South-central Asia,2015,"Intentional homicide rates per 100,000",3.7,"Data is for 2015, or latest available data from 2010 onwards.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
9,Oceania,2015,"Intentional homicide rates per 100,000",8.8,"Data is for 2015, or latest available data from 2010 onwards.;Excludes Australia and New Zealand.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
53,Australia and New Zealand,2015,"Intentional homicide rates per 100,000",1.0,"Data is for 2015, or latest available data from 2010 onwards.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
4,Afghanistan,2010,"Intentional homicide rates per 100,000",3.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
4,Afghanistan,2012,"Intentional homicide rates per 100,000",6.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
4,Afghanistan,2012,"Percentage of male and female intentional homicide victims, Male",11.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
4,Afghanistan,2012,"Percentage of male and female intentional homicide victims, Female",0.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2005,"Intentional homicide rates per 100,000",5.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2005,"Percentage of male and female intentional homicide victims, Male",8.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2005,"Percentage of male and female intentional homicide victims, Female",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2005,"Assault rate per 100,000 population",5.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2005,"Theft at the national level, rate per 100,000 population",97.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2005,"Robbery at the national level, rate per 100,000 population",6.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2005,"Total Sexual Violence at the national level, rate per 100,000",2.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2010,"Intentional homicide rates per 100,000",4.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2010,"Percentage of male and female intentional homicide victims, Male",7.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2010,"Percentage of male and female intentional homicide victims, Female",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2010,"Assault rate per 100,000 population",6.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2010,"Kidnapping at the national level, rate per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2010,"Theft at the national level, rate per 100,000 population",135.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2010,"Robbery at the national level, rate per 100,000 population",8.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2010,"Total Sexual Violence at the national level, rate per 100,000",2.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2015,"Intentional homicide rates per 100,000",2.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2015,"Percentage of male and female intentional homicide victims, Male",3.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2015,"Percentage of male and female intentional homicide victims, Female",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2015,"Assault rate per 100,000 population",5.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2015,"Kidnapping at the national level, rate per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2015,"Theft at the national level, rate per 100,000 population",245.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2015,"Robbery at the national level, rate per 100,000 population",8.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2015,"Total Sexual Violence at the national level, rate per 100,000",5.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2016,"Intentional homicide rates per 100,000",2.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2016,"Percentage of male and female intentional homicide victims, Male",4.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2016,"Percentage of male and female intentional homicide victims, Female",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2016,"Assault rate per 100,000 population",4.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2016,"Kidnapping at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2016,"Theft at the national level, rate per 100,000 population",192.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
8,Albania,2016,"Robbery at the national level, rate per 100,000 population",5.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,Algeria,2005,"Intentional homicide rates per 100,000",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,Algeria,2005,"Assault rate per 100,000 population",98.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,Algeria,2005,"Kidnapping at the national level, rate per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,Algeria,2005,"Robbery at the national level, rate per 100,000 population",75.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,Algeria,2010,"Intentional homicide rates per 100,000",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,Algeria,2010,"Assault rate per 100,000 population",114.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,Algeria,2010,"Kidnapping at the national level, rate per 100,000",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,Algeria,2010,"Theft at the national level, rate per 100,000 population",141.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,Algeria,2010,"Robbery at the national level, rate per 100,000 population",51.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,Algeria,2010,"Total Sexual Violence at the national level, rate per 100,000",10.5,Break in the time series.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,Algeria,2015,"Intentional homicide rates per 100,000",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,Algeria,2015,"Percentage of male and female intentional homicide victims, Male",2.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,Algeria,2015,"Percentage of male and female intentional homicide victims, Female",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,Algeria,2015,"Assault rate per 100,000 population",123.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,Algeria,2015,"Kidnapping at the national level, rate per 100,000",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,Algeria,2015,"Theft at the national level, rate per 100,000 population",124.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,Algeria,2015,"Robbery at the national level, rate per 100,000 population",65.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
12,Algeria,2015,"Total Sexual Violence at the national level, rate per 100,000",8.5,Break in the time series.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
16,American Samoa,2005,"Intentional homicide rates per 100,000",10.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
16,American Samoa,2010,"Intentional homicide rates per 100,000",9.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
16,American Samoa,2016,"Intentional homicide rates per 100,000",5.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2004,"Intentional homicide rates per 100,000",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2008,"Intentional homicide rates per 100,000",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2008,"Percentage of male and female intentional homicide victims, Male",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2008,"Percentage of male and female intentional homicide victims, Female",2.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2008,"Assault rate per 100,000 population",125.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2008,"Theft at the national level, rate per 100,000 population","1,165.0",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2008,"Robbery at the national level, rate per 100,000 population",4.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2008,"Total Sexual Violence at the national level, rate per 100,000",17.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2010,"Percentage of male and female intentional homicide victims, Male",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2010,"Percentage of male and female intentional homicide victims, Female",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2010,"Assault rate per 100,000 population",116.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2010,"Theft at the national level, rate per 100,000 population","1,322.7",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2010,"Robbery at the national level, rate per 100,000 population",9.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2010,"Total Sexual Violence at the national level, rate per 100,000",11.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2011,"Intentional homicide rates per 100,000",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2011,"Percentage of male and female intentional homicide victims, Male",2.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2011,"Percentage of male and female intentional homicide victims, Female",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2011,"Assault rate per 100,000 population",171.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2011,"Theft at the national level, rate per 100,000 population","1,269.2",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2011,"Robbery at the national level, rate per 100,000 population",6.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2011,"Total Sexual Violence at the national level, rate per 100,000",20.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2014,"Percentage of male and female intentional homicide victims, Male",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2014,"Percentage of male and female intentional homicide victims, Female",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2014,"Assault rate per 100,000 population",155.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2014,"Kidnapping at the national level, rate per 100,000",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2014,"Theft at the national level, rate per 100,000 population","1,181.5",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2014,"Robbery at the national level, rate per 100,000 population",8.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2014,"Total Sexual Violence at the national level, rate per 100,000",22.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2015,"Percentage of male and female intentional homicide victims, Male",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2015,"Percentage of male and female intentional homicide victims, Female",0.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2015,"Assault rate per 100,000 population",170.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2015,"Theft at the national level, rate per 100,000 population","1,340.8",,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2015,"Robbery at the national level, rate per 100,000 population",10.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
20,Andorra,2015,"Total Sexual Violence at the national level, rate per 100,000",15.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
24,Angola,2012,"Intentional homicide rates per 100,000",4.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
24,Angola,2012,"Percentage of male and female intentional homicide victims, Male",7.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
24,Angola,2012,"Percentage of male and female intentional homicide victims, Female",2.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
660,Anguilla,2004,"Intentional homicide rates per 100,000",8.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
660,Anguilla,2009,"Intentional homicide rates per 100,000",7.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
660,Anguilla,2014,"Intentional homicide rates per 100,000",27.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
28,Antigua and Barbuda,2002,"Intentional homicide rates per 100,000",5.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
28,Antigua and Barbuda,2002,"Percentage of male and female intentional homicide victims, Male",9.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
28,Antigua and Barbuda,2002,"Percentage of male and female intentional homicide victims, Female",2.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
28,Antigua and Barbuda,2005,"Intentional homicide rates per 100,000",3.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
28,Antigua and Barbuda,2008,"Intentional homicide rates per 100,000",17.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
28,Antigua and Barbuda,2008,"Percentage of male and female intentional homicide victims, Male",24.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
28,Antigua and Barbuda,2008,"Percentage of male and female intentional homicide victims, Female",10.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
28,Antigua and Barbuda,2010,"Intentional homicide rates per 100,000",6.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
