[T13.],Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1985,GDP in current prices (millions of US dollars),"13,518,851",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",1995,GDP in current prices (millions of US dollars),"31,084,222",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2005,GDP in current prices (millions of US dollars),"47,550,129",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2010,GDP in current prices (millions of US dollars),"66,145,612",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2015,GDP in current prices (millions of US dollars),"74,757,288",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2016,GDP in current prices (millions of US dollars),"75,840,177",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2017,GDP in current prices (millions of US dollars),"80,501,414",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",1985,GDP per capita (US dollars),"2,776",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",1995,GDP per capita (US dollars),"5,406",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2005,GDP per capita (US dollars),"7,270",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2010,GDP per capita (US dollars),"9,508",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2015,GDP per capita (US dollars),"10,128",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2016,GDP per capita (US dollars),"10,159",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2017,GDP per capita (US dollars),"10,665",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",1985,GDP in constant 2010 prices (millions of US dollars),"31,826,492",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",1995,GDP in constant 2010 prices (millions of US dollars),"42,246,915",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2005,GDP in constant 2010 prices (millions of US dollars),"58,258,483",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2010,GDP in constant 2010 prices (millions of US dollars),"66,145,612",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2015,GDP in constant 2010 prices (millions of US dollars),"75,839,510",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2016,GDP in constant 2010 prices (millions of US dollars),"77,669,298",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2017,GDP in constant 2010 prices (millions of US dollars),"80,050,391",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",1985,GDP real rates of growth (percent),3.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",1995,GDP real rates of growth (percent),3.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2005,GDP real rates of growth (percent),3.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2010,GDP real rates of growth (percent),4.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2015,GDP real rates of growth (percent),2.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2016,GDP real rates of growth (percent),2.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
1,"Total, all countries or areas",2017,GDP real rates of growth (percent),3.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
2,Africa,1985,GDP in current prices (millions of US dollars),"517,301",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
