T15,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,1985,Balance of Payments: Current account (millions of US dollars),-243,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
4,Afghanistan,2010,Balance of Payments: Current account (millions of US dollars),"-1,505",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
4,Afghanistan,2015,Balance of Payments: Current account (millions of US dollars),"-4,689",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
4,Afghanistan,2016,Balance of Payments: Current account (millions of US dollars),"-3,648",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
4,Afghanistan,2017,Balance of Payments: Current account (millions of US dollars),"-4,683",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
4,Afghanistan,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
4,Afghanistan,2010,Balance of Payments: Capital account (millions of US dollars),"2,996",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
4,Afghanistan,2015,Balance of Payments: Capital account (millions of US dollars),"1,630",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
4,Afghanistan,2016,Balance of Payments: Capital account (millions of US dollars),"1,654",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
4,Afghanistan,2017,Balance of Payments: Capital account (millions of US dollars),"1,479",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
4,Afghanistan,1985,Balance of Payments: Financial account (millions of US dollars),-75,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
4,Afghanistan,2010,Balance of Payments: Financial account (millions of US dollars),"1,061",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
4,Afghanistan,2015,Balance of Payments: Financial account (millions of US dollars),-317,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
