T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
4,Afghanistan,2010,Major trading partner 1 (% of exports),Pakistan,,39.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
4,Afghanistan,2017,Major trading partner 1 (% of exports),Pakistan,,47.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
4,Afghanistan,2010,Major trading partner 1 (% of imports),Iran (Islamic Rep.),,7.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
4,Afghanistan,2017,Major trading partner 1 (% of imports),Iran (Islamic Rep.),,19.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
4,Afghanistan,2010,Major trading partner 2 (% of exports),India,,16.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
4,Afghanistan,2017,Major trading partner 2 (% of exports),India,,38.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
4,Afghanistan,2010,Major trading partner 2 (% of imports),Pakistan,,11.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
4,Afghanistan,2017,Major trading partner 2 (% of imports),Pakistan,,18.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
4,Afghanistan,2010,Major trading partner 3 (% of exports),Iran (Islamic Rep.),,8.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
4,Afghanistan,2017,Major trading partner 3 (% of exports),Iran (Islamic Rep.),,3.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
4,Afghanistan,2010,Major trading partner 3 (% of imports),China,,13.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
4,Afghanistan,2017,Major trading partner 3 (% of imports),China,,16.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
8,Albania,2005,Major trading partner 1 (% of exports),Italy,,72.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
8,Albania,2010,Major trading partner 1 (% of exports),Italy,,50.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
8,Albania,2017,Major trading partner 1 (% of exports),Italy,,54.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
8,Albania,2005,Major trading partner 1 (% of imports),Italy,,29.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
8,Albania,2010,Major trading partner 1 (% of imports),Italy,,28.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
8,Albania,2017,Major trading partner 1 (% of imports),Italy,,26.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
8,Albania,2010,Major trading partner 2 (% of exports),Serbia,,8.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
8,Albania,2017,Major trading partner 2 (% of exports),Serbia,,7.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
8,Albania,2017,Major trading partner 2 (% of imports),Areas nes,Areas not elsewhere specified.,13.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
8,Albania,2005,Major trading partner 3 (% of exports),Spain,,0.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
8,Albania,2010,Major trading partner 3 (% of exports),Spain,,3.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
8,Albania,2017,Major trading partner 3 (% of exports),Spain,,5.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
8,Albania,2005,Major trading partner 3 (% of imports),Turkey,,7.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
8,Albania,2010,Major trading partner 3 (% of imports),Turkey,,5.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
8,Albania,2017,Major trading partner 3 (% of imports),Turkey,,7.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
12,Algeria,2005,Major trading partner 1 (% of exports),Italy,,16.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
12,Algeria,2010,Major trading partner 1 (% of exports),Italy,,15.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
12,Algeria,2017,Major trading partner 1 (% of exports),Italy,,16.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
12,Algeria,2005,Major trading partner 1 (% of imports),China,,6.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
12,Algeria,2010,Major trading partner 1 (% of imports),China,,11.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
12,Algeria,2017,Major trading partner 1 (% of imports),China,,18.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
12,Algeria,2005,Major trading partner 2 (% of exports),France,,10.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
12,Algeria,2010,Major trading partner 2 (% of exports),France,,6.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
