,ccode,country,year,Total ,age 15-17,age 18-19,<20,>20,age 20-34,age 35-49
0,AFG,Afghanistan,2010.0,47.872012015511054,48.29223130905616,45.121148702034,45.634002570006224,46.6358233339202,46.7023564281123,46.32397113373447
1,ALB,Albania,2000.0,95.26988668613944,100.0,100.0,100.0,94.96748267040262,95.3992576674468,91.42794737833292
2,ALB,Albania,2005.0,97.12456834358983,100.0,100.0,100.0,96.8282060558066,97.10799061699127,94.33177963650193
3,ALB,Albania,2008.0,98.42084048642693,92.57789419158637,100.0,97.77837787470841,98.4655743050292,98.46770581371696,98.43890550973417
4,ARG,Argentina,2012.0,98.07010203145938,99.29819645404524,98.59780813691637,98.9059951688926,97.9368539546685,97.99294885977659,97.70739627343882
5,ARM,Armenia,2000.0,92.1011947857188,96.10926401410045,87.97260578867194,89.35044825172116,92.59196429350418,93.20589511050704,83.87976042291396
6,ARM,Armenia,2005.0,93.83966530400065,86.76927081369367,92.94267769821822,92.42990057653068,93.99869484314736,94.23084335696892,89.85277978986525
7,ARM,Armenia,2010.0,99.03538744286047,100.0,100.0,100.0,98.9441428130749,98.86824696426363,100.0
8,AZE,Azerbaijan,2000.0,68.67167919799499,78.57142857142857,72.22222222222221,74.0,68.12865497076024,69.08517350157729,56.00000000000001
9,AZE,Azerbaijan,2006.0,79.99605050589768,68.89808728913151,80.0016136672264,77.05932725464973,80.26402207694558,81.19671861405469,69.27830642856203
10,BGD,Bangladesh,2004.0,43.13535935135796,42.6119320463127,42.753976238002785,42.67718775428724,43.36075471583639,43.90924575668566,36.87652502497005
11,BGD,Bangladesh,2006.0,47.664123303221984,43.19811836521292,51.27850728461634,47.31729170652997,47.79267140785421,48.90173233966858,35.224970590334024
12,BGD,Bangladesh,2007.0,53.69133398537258,53.56618552007071,56.14285301692858,54.818789285228355,53.146503366742394,54.429514275370195,35.62992708869209
13,BGD,Bangladesh,2011.0,55.1486400953731,55.648182860388914,59.86286921955733,57.82793579469323,53.98971788279419,54.73067507716559,40.107118763206714
14,BGD,Bangladesh,2013.0,58.66583563716613,61.234322204906825,61.81927342553202,61.636676217464505,57.94367813426503,59.447697595120715,43.044779461300934
15,BGD,Bangladesh,2014.0,64.84864081078905,63.70786227377607,65.95379688975046,64.83976823853239,64.85277184104426,65.009906778206,61.947065204057175
16,BRB,Barbados,2012.0,93.42756517469545,0.0,100.0,100.0,93.56131203470609,91.05696736484623,100.0
17,BLR,Belarus,2005.0,99.4319597772494,100.0,98.95173109025248,99.12546933280066,99.4620472668989,99.41034622690849,100.0
18,BLR,Belarus,2012.0,99.64600736828075,80.78408291981162,100.0,95.12899798513878,99.89445292304805,99.88476024250974,100.0
19,BLZ,Belize,2006.0,93.99380294767124,100.0,90.76108447198551,94.03285567482305,94.32453641318078,95.30495707937384,88.3850517808936
20,BLZ,Belize,2011.0,96.22116900189131,97.60145281933133,96.05111090973148,96.6648159224943,96.12931587694348,96.97239876613195,90.8208172574135
21,BEN,Benin,2001.0,87.49231432130834,84.60393318429269,86.91461148629172,86.1120408394757,87.69999172199239,88.41213805250591,83.90367676779485
22,BEN,Benin,2006.0,87.89448830467637,84.06687486017618,85.7224486361075,85.16784118450558,88.24493931848278,88.86376093772932,84.5680127890964
23,BEN,Benin,2011.0,86.4762009849981,82.18055546419725,85.16040726002278,84.09855562207103,86.7541141463596,87.16765754703066,84.4692486835083
24,BTN,Bhutan,2010.0,97.29870154600779,89.49579190845444,92.0530297182888,91.85434204990828,97.53221250824996,98.13383098101089,94.39915173160396
25,BOL,Bolivia (Plurinational State of),2000.0,82.62020472724198,88.45896585366228,92.2487625438834,90.91126774073757,81.06359921793073,84.49312623446352,65.60266254559885
26,BOL,Bolivia (Plurinational State of),2003.0,78.62621503834171,79.65258186429263,83.72666937542901,81.91761176549439,78.01506894228527,80.72550730684593,67.35421481346593
27,BOL,Bolivia (Plurinational State of),2008.0,90.94167907617509,85.78765837667692,90.95897860468912,88.46004442048203,91.42610008107161,92.54384205394793,86.60615140165936
28,BIH,Bosnia and Herzegovina,2000.0,99.17525773195877,100.0,100.0,100.0,99.09909909909909,99.01234567901234,100.0
29,BIH,Bosnia and Herzegovina,2006.0,98.89753597308896,93.33333333333333,100.0,99.07957933249494,98.88208494200448,98.77986782384566,100.0
30,BIH,Bosnia and Herzegovina,2011.0,86.96171974734087,33.24472510920738,62.80782175564149,60.190029975106654,87.77878648415269,87.06621157987152,94.32406429640817
31,BFA,Burkina Faso,2003.0,73.47725024239499,73.84396872634413,74.31571360061561,74.16755534086744,73.35932690732014,73.64767816774408,72.29680336593745
32,BFA,Burkina Faso,2006.0,84.99186112145432,90.51122498045534,86.90359847201475,87.8594042017085,86.12575180497242,87.08473045371593,82.36890253777099
33,BFA,Burkina Faso,2010.0,95.80288943272541,98.12685231577636,96.86165938868176,97.2349917498755,95.58197023371098,95.94052079392353,94.10144319988
34,BDI,Burundi,2000.0,78.00453514739229,64.28571428571429,83.09859154929578,80.0,78.08564231738035,79.7319932998325,73.09644670050761
35,BDI,Burundi,2005.0,93.75573937156956,85.33972607048209,90.73769263660691,89.72512293017803,95.1116402322021,95.73601268886232,92.88794413030837
36,BDI,Burundi,2010.0,99.11723891769394,94.11677976463736,97.806994621989,96.96389443155111,99.32751783643455,99.4065941063583,99.02411640777214
37,KHM,Cambodia,2000.0,38.54400639789041,39.57252833290279,46.201651639212855,44.51842760588264,37.88130450696187,39.93212262017581,31.623201639263954
38,KHM,Cambodia,2005.0,71.94597966293827,62.65978623130244,75.39662357235137,71.97049741507851,71.94337428017134,74.57109863583112,61.06677304845359
39,KHM,Cambodia,2010.0,91.2381503823315,91.27468238503737,94.53055777067465,93.73893217568575,90.96079765150796,92.39703416362876,81.198101279047
40,KHM,Cambodia,2014.0,96.23788743714651,93.69347052536081,96.0065359693017,95.57122040766251,96.32099728138684,96.88003739275237,90.7284179720759
41,CMR,Cameroon,2000.0,75.25218729385301,84.02692921297127,83.13686152681267,83.54756795910654,82.64267032564211,84.10139224963072,75.43529034766821
42,CMR,Cameroon,2004.0,79.49834435720071,82.31536591123914,77.7959537339005,79.71716485476745,79.43567957451248,79.84086989583787,76.84723849598343
43,CMR,Cameroon,2006.0,81.93964425085446,0.0,0.0,0.0,0.0,0.0,0.0
44,CMR,Cameroon,2011.0,83.60067244641944,85.97292140183826,82.4764213639195,83.89376502990135,83.53348818580038,84.5829534541343,77.07230875347966
45,CAF,Central African Republic,2000.0,61.98242355543664,72.91808686550405,74.60540752094832,73.76189823262253,63.14482924220769,64.69918110234939,56.97499574759735
46,CAF,Central African Republic,2006.0,69.32803756671187,77.4796788262043,77.38596695013806,77.42731653848979,68.4113628702813,69.89620050210688,60.31289062035219
