,ccode,country,number1000,percentarea,under18
0,AFG,Afghanistan,134,0.0,40
1,ALB,Albania,52,2.0,47
2,DZA,Algeria,249,1.0,20
3,AND,Andorra,41,53.0,7
4,AGO,Angola,638,2.0,47
5,AIA,Anguilla,6,37.0,22
6,ATG,Antigua and Barbuda,29,28.0,11
7,ARG,Argentina,2165,5.0,8
8,ARM,Armenia,191,7.0,8
9,AUS,Australia,7036,29.0,7
10,AUT,Austria,1660,19.0,5
11,AZE,Azerbaijan,259,3.0,11
12,BHS,Bahamas,62,16.0,12
13,BHR,Bahrain,723,48.0,14
14,BGD,Bangladesh,1501,1.0,18
15,BRB,Barbados,35,12.0,14
16,BLR,Belarus,1079,11.0,3
17,BEL,Belgium,1268,11.0,18
18,BLZ,Belize,60,16.0,11
19,BEN,Benin,253,2.0,26
20,BTN,Bhutan,52,6.0,11
21,BOL,Bolivia (Plurinational State of),149,1.0,32
22,BIH,Bosnia and Herzegovina,37,1.0,17
23,BWA,Botswana,166,7.0,23
24,BRA,Brazil,736,0.0,14
25,BRN,Brunei Darussalam,109,25.0,17
26,BGR,Bulgaria,154,2.0,31
27,BFA,Burkina Faso,709,4.0,21
28,BDI,Burundi,300,3.0,28
29,CPV,Cabo Verde,15,3.0,10
30,KHM,Cambodia,76,0.0,9
31,CMR,Cameroon,540,2.0,32
32,CAN,Canada,7861,21.0,8
33,CAF,Central African Republic,89,2.0,26
34,TCD,Chad,490,3.0,36
35,CHL,Chile,489,3.0,21
36,CHN,China,1000,0.0,21
37,COL,Colombia,142,0.0,31
38,COM,Comoros,13,2.0,15
39,COG,Congo,399,8.0,27
40,CRI,Costa Rica,414,8.0,9
41,CIV,Côte d'Ivoire,2197,9.0,14
42,HRV,Croatia,560,13.0,4
43,CUB,Cuba,13,0.0,9
44,CYP,Cyprus,189,16.0,9
45,CZE,Czechia,433,4.0,5
46,PRK,Democratic People's Republic of Korea,49,0.0,18
47,COD,Democratic Republic of the Congo,879,1.0,29
48,DNK,Denmark,657,11.0,9
49,DJI,Djibouti,116,12.0,21
50,DMA,Dominica,7,9.0,36
51,DOM,Dominican Republic,425,4.0,18
